Where,Projects,Location,Rule,Status,PR,PR Status
commit,heike2718/checklistenserver,https://github.com/heike2718/checklistenserver/blob/4f9f73b456e4b842bad9b60aaff9ffe7686ba1aa/src/main/java/de/egladil/web/checklistenserver/filters/SecureHeadersFilter.java#L30,@ConfigProperty --> @Inject on field,fixed,,
commit,heike2718/checklistenserver,https://github.com/heike2718/checklistenserver/blob/4f9f73b456e4b842bad9b60aaff9ffe7686ba1aa/src/main/java/de/egladil/web/checklistenserver/filters/OriginReferrerFilter.java#L41,@ConfigProperty --> @Inject on field,fixed,,
commit,heike2718/checklistenserver,https://github.com/heike2718/checklistenserver/blob/4f9f73b456e4b842bad9b60aaff9ffe7686ba1aa/src/main/java/de/egladil/web/checklistenserver/filters/OriginReferrerFilter.java#L44,@ConfigProperty --> @Inject on field,fixed,,
commit,heike2718/checklistenserver,https://github.com/heike2718/checklistenserver/blob/3e9f65089cceabdc4ffb03280e287ece7ee8020b/src/main/java/de/egladil/web/checklistenserver/config/SignupSecretProperties.java#L18,@ConfigProperty --> @Inject on field,fixed,,
commit,heike2718/checklistenserver,https://github.com/heike2718/checklistenserver/blob/3e9f65089cceabdc4ffb03280e287ece7ee8020b/src/main/java/de/egladil/web/checklistenserver/config/SignupSecretProperties.java#L21,@ConfigProperty --> @Inject on field,fixed,,
commit,heike2718/checklistenserver,https://github.com/heike2718/checklistenserver/blob/3e9f65089cceabdc4ffb03280e287ece7ee8020b/src/main/java/de/egladil/web/checklistenserver/config/SignupSecretProperties.java#L24,@ConfigProperty --> @Inject on field,fixed,,
commit,heike2718/checklistenserver,https://github.com/heike2718/checklistenserver/blob/3e9f65089cceabdc4ffb03280e287ece7ee8020b/src/main/java/de/egladil/web/checklistenserver/config/SignupSecretProperties.java#L27,@ConfigProperty --> @Inject on field,fixed,,
commit,heike2718/checklistenserver,https://github.com/heike2718/checklistenserver/blob/3e9f65089cceabdc4ffb03280e287ece7ee8020b/src/main/java/de/egladil/web/checklistenserver/config/SignupSecretProperties.java#L30,@ConfigProperty --> @Inject on field,fixed,,
commit,heike2718/checklistenserver,https://github.com/heike2718/checklistenserver/blob/dcc02360252d71627c3770ddc74bb23fa23245ff/src/main/java/de/egladil/web/checklistenserver/service/ChecklistenSessionService.java#L58,@ConfigProperty --> @Inject on field,fixed,,
commit,heike2718/checklistenserver,https://github.com/heike2718/checklistenserver/blob/dcc02360252d71627c3770ddc74bb23fa23245ff/src/main/java/de/egladil/web/checklistenserver/service/ChecklistenSessionService.java#L61,@ConfigProperty --> @Inject on field,fixed,,
commit,heike2718/checklistenserver,https://github.com/heike2718/checklistenserver/blob/dcc02360252d71627c3770ddc74bb23fa23245ff/src/main/java/de/egladil/web/checklistenserver/service/ChecklistenSessionService.java#L64,@ConfigProperty --> @Inject on field,fixed,,
commit,heike2718/checklistenserver,https://github.com/heike2718/checklistenserver/blob/dcc02360252d71627c3770ddc74bb23fa23245ff/src/main/java/de/egladil/web/checklistenserver/service/ChecklistenSessionService.java#L67,@ConfigProperty --> @Inject on field,fixed,,
commit,heike2718/checklistenserver,https://github.com/heike2718/checklistenserver/blob/bcd8fb4434e9af872a36fa64b3432612df96980c/src/main/java/de/egladil/web/checklistenserver/endpoints/AuthenticationResource.java#L35,@ConfigProperty --> @Inject on field,fixed,,
commit,heike2718/checklistenserver,https://github.com/heike2718/checklistenserver/blob/bcd8fb4434e9af872a36fa64b3432612df96980c/src/main/java/de/egladil/web/checklistenserver/endpoints/AuthenticationResource.java#L38,@ConfigProperty --> @Inject on field,fixed,,
commit,heike2718/checklistenserver,https://github.com/heike2718/checklistenserver/blob/bcd8fb4434e9af872a36fa64b3432612df96980c/src/main/java/de/egladil/web/checklistenserver/endpoints/AuthenticationResource.java#L41,@ConfigProperty --> @Inject on field,fixed,,
project,IBM/application-modernization-javaee-quarkus,https://github.com/IBM/application-modernization-javaee-quarkus/blob/master/service-catalog-quarkus-reactive/src/main/java/com/ibm/catalog/ProductResource.java#L144,@ConfigProperty --> @Inject on field,not fixed,https://github.com/IBM/application-modernization-javaee-quarkus/pull/19,
project,jarryDk/quarkus-wildfly-faglig-fredag,https://github.com/jarryDk/quarkus-wildfly-faglig-fredag/blob/master/quarkus-fagligfredag-demo/src/main/java/dk/jarry/fagligfredag/ping/boundary/PingResource.java#L11,@ConfigProperty --> @Inject on field,not fixed,https://github.com/jarryDk/quarkus-wildfly-faglig-fredag/pull/1,
